@Ids_Hmi,15:44 - 24 mars 2013,Nan !! il vont enlever les blagues des #Carambar  c'est des ouf faut pas laisser faire sa !!,
@FloMachado_,14:56 - 24 mars 2013,Je suis X I T. #3lettres #rennes #carambar,
@KLDPADDLE,14:54 - 24 mars 2013,Un peu déprimant tout ça !#carambar #cadbury #aurevoirmonenfancepic.twitter.com/FvSP09GCCQ,
@VirgietA,14:48 - 24 mars 2013,Contre la #deprime rien de tel que d'etre emmitoufflee dans un plaid polaire devant la tele en mangeant des #carambar !!,
@Jude_63,14:32 - 24 mars 2013,Quel basketteur retient le mieux ses leçons ? Tony par cœur. #Carambar.,
@Jude_63,14:17 - 24 mars 2013,Deux arbres dialoguent :Moi je n'aime pas le travail à la chaîne ! (chêne)- Et moi j'ai horreur du boulot (bouleau). #Carambar Voilà.,
@Marklanders_10,14:01 - 24 mars 2013,Monsieur et Madame Le Plein ont un fils . Comment s'appelle t-il ? Jemet Le Plein ( je met le plein xD) #BigUp a #Carambar,
@olivcim,13:05 - 24 mars 2013,Arrêt des blagues #Carambar. Quelle stratégie de com derrière ? 3 hypothèses - http://ow.ly/jlOGM  - #marketing #coupdecom #buzz,
@guillaumeglte,12:50 - 24 mars 2013,Arrêt des blagues #Carambar. Quelle stratégie de com derrière ? 3 hypothèses - http://ow.ly/jlOEp  - #marketing #coupdecom (via @olivcim),
@dnymoran,12:46 - 24 mars 2013,Carambar!!! #carambar #sweet #candy  http://instagram.com/p/XQJhW5hB-Y/ ,
@RecettesDelices,12:01 - 24 mars 2013,[Nouvelle Recette] Cake carambar http://bit.ly/X0TcTs  #cake-2 #carambar-2 #recette #cuisine,
@X1001,12:00 - 24 mars 2013,#carambar quel est l'animal qui fait Wouafff Wouaff?,
@Dkbl_,11:32 - 24 mars 2013,Nene n'est pas un Saint la blague #carambar du #cfc @CanalFootClub,
@lizyrondol,11:31 - 24 mars 2013,MOBILISONS-NOUS avec cette mairie qui lance une pétition ctre la fin des blagues #carambar http://www.facebook.com/pages/Marcq-en-Baroeul/123679961000034 …,
@Nycosss,10:58 - 24 mars 2013,L'arrêt de la blague #Carambar ça sent le Buzz du premier avril !!,
@Donibane22627,10:56 - 24 mars 2013,La der #Carambar Adam et Eve ont des enfants Que fait-on d'eux pendant les vacances demande Eve Je m'en brosse répond Adam. C nul je C;(,
@EdithPage,10:52 - 24 mars 2013,@oliviertripet Voici une autre chronique #carambar @DariusRochebin @cframmery http://goo.gl/XGTwq ,
@mopufle,10:15 - 24 mars 2013,Savourant un des soit-disant derniers carambars à blague je tombe sur ca! #ironie #carambar #DeQuiSeMoqueTOnpic.twitter.com/juoaWolLFu,
@AudreySommazi,10:00 - 24 mars 2013,RT “@SebM_DDM: La dernière blague #Carambar: Ils étaient 14 million à la #ManifPourTous à Paris aujourd'hui :-D :-D :-D”,
@Chlooe59,09:51 - 24 mars 2013,Qui est-ce qui porte des lunettes et ne voit pas ? -Un nez #Carambar,
@Mathildeeven,09:46 - 24 mars 2013,@Simooonx3 Et #Carambar ♡,
@SebMarcelle,09:45 - 24 mars 2013,La dernière blague #Carambar: Ils étaient 14 million à la #ManifPourTous à Paris aujourd'hui :-D :-D :-D,
@maxencerz,09:38 - 24 mars 2013,Enfaite les dernières blagues #carambar deviennent collector!!,
@evahusson,09:10 - 24 mars 2013,En fait tout va bien les blagues #Carambar se sont réincarnées sur Tumblr. http://bandsdamateurs.tumblr.com/ ,
@Remaith,08:57 - 24 mars 2013,“@DarkBlueShell: Impressionnante cette manif contre l'arrêt des blagues #carambar” #fb,
@VivianRoldo,08:56 - 24 mars 2013,C'est donc officiel : @leo_sdle est au chômage. :) #lol #blagues #carambar http://www.konbini.com/fr/culture/cen-est-fini-des-blagues-carambar/?utm_source=NEWSLETTERS&utm_campaign=579e084fcf-Pop_News_03%2F24%2F2013_FB_Connect&utm_medium=email …,
@Dkbl_,08:54 - 24 mars 2013,Impressionnante cette manif contre l'arrêt des blagues #carambar,
@chriis971,08:49 - 24 mars 2013,Framboise c les meieur #carambar,
@chriis971,08:48 - 24 mars 2013,#carambar,
@PSEVEZsj,08:37 - 24 mars 2013,Quel est le plus féminin des fruits ? La Nana ! #Carambar,
@ElisePaviet,08:21 - 24 mars 2013,Que dit un agent secret après voir raté sa mission ? Réponse : j'ai pas été bond #LOL  #Carambar,
@HerveMonier,08:16 - 24 mars 2013,#Buzz du 1er avril ? #Carambarketing ? #Carambar annonce la fin de ses célèbres blagues... http://sco.lt/746Hjt  via @Emarketing_fr,
@DominiqueMille,08:13 - 24 mars 2013,Une pétition contre la fin des blagues #Carambar. Et c'est sérieux ! http://tempsreel.nouvelobs.com/l-histoire-du-soir/20130323.OBS2848/une-mairie-lance-une-petition-contre-la-fin-des-blagues-carambar.html … via @LeNouvelObs,
@mperinetti,08:10 - 24 mars 2013,je veux pas vous spoiler mais j'ai rêvé que le 1er avril carambar annonçait que non ils n'arrêtent pas les blagues en fait.. #carambar,
@Ecribouille,08:06 - 24 mars 2013,Comment appelle-t-on une panthère qui part trop vite ? ... Un faux guepard. #carambar,
@olivcim,08:05 - 24 mars 2013,Arrêt des blagues #Carambar. Quelle stratégie de com derrière ? 3 hypothèses - http://ow.ly/jlOFF  - #marketing #coupdecom #buzz,
@wtf_paris,08:05 - 24 mars 2013,Moins de 16h avant d'être libérés des blagues d'Elise Semoun... #carambar,
@KhablachiYadh,07:58 - 24 mars 2013,la fin des blagues sur les #carambar ! #nostalgie,
@Adeledew,07:57 - 24 mars 2013,Et après l'effort le réconfort #lululourson #carambar #goutertimepic.twitter.com/KQI9pYqn4R,
@hipertofu,07:52 - 24 mars 2013,Oh ! Un #Carambar goût Barbe à Papa vieux de plusieurs années retrouver dans un petit panier fourre tout. Qu'ell... pic.twitter.com/yZn8DBrxKf,
@fra375,07:49 - 24 mars 2013,#Carambar @Aur_Bert,
@Mortauxcons2,07:31 - 24 mars 2013,@bgerard59 maire ump de Marcq-en-Barœul a besoin de des blagues #carambar que seule @Nadine__Morano pouvait comprendre immédiatement.,
@paraoua,07:31 - 24 mars 2013,#Syrie : Mort de Bachar El Assad nouvelle blague #Carambar ?,
@schmouf,07:28 - 24 mars 2013,Dans l'avion d'#Afflelou c'est normal de trouver un pilote de ligne… (#Carambar celle-ci elle est pour toi !),
@TiBo_Birmingham,07:20 - 24 mars 2013,Les #Carambar ne contiendront plus de blagues ... Le monde part en sucette !!!,
@Initiative_D,07:14 - 24 mars 2013,#Carambar : mauvaise blague ou coup de comm’ génial ? http://leplus.nouvelobs.com/contribution/804756-carambar-mauvaise-blague-ou-coup-de-comm-genial.html …,
@AfterEight13,07:09 - 24 mars 2013,Blagues #Carambar : une pétition sur #Facebook pour empêcher leur disparitionhttp://www.atlantico.fr/atlantico-light/blagues-carambar-petition-pour-empecher-disparition-679049.html#1fxjursbB8HEWTKX.99 …,
@Kev_OMRCT,07:04 - 24 mars 2013,Vu sur @leplus_obs #Carambar : mauvaise blague ou coup de comm’ génial ? http://leplus.nouvelobs.com/contribution/804756-carambar-mauvaise-blague-ou-coup-de-comm-genial.html … via @olivcim,
@AnneBres,07:00 - 24 mars 2013,Intéressante analyse  de strat de com RT @olivcim: Arrêt des blagues #Carambar. Quelle stratégie ?  http://bit.ly/14mAwkg  - #marketing,
@Gaetanwampas,06:52 - 24 mars 2013,Non mais allo quoi ! T'es un #Carambar et t'as  pas de #blague. C'est comme si je  te disais t'es un Carambar et t'es pas #drôle.,
@Madma__,06:40 - 24 mars 2013,Quelle est la différence entre un élastique et un homme au réveil? Aucune : il s'étire il s'étire il s'étire... et il pète ! #Carambar,
@akadewan,06:35 - 24 mars 2013,@BFMTV Bonne vanne... Mais pas sûr qu'elle apparaisse dans la compile #Carambar .,
@jeromegodefroy,06:18 - 24 mars 2013,La #manifpourtous ou la #maniffourretout ou la #manifdelahonte ou la #manifpourrien - c'est l'ultime blague #Carambar même pas drôle.,
@Lecocq_dom,06:18 - 24 mars 2013,@SdeMenthon @po_st #Carambar voilà une belle campagne de pub qui n'est pas une blague !,
@cqfd2d,05:49 - 24 mars 2013,+ de 10 pétitions blagues #carambar  tt le monde se marre tu en mets 1 en ligne #insertionenfantshandicapés on te fait chier #jdcjdr,
@89Bubule,05:27 - 24 mars 2013,Carambar serait sur le point d'abandonner ses célèbres blagues  #carambar #blague #fin #alimentation http://www.jeanmarcmorandini.com/article-302035-carambar-serait-sur-le-point-d-abandonner-ses-celebres-blagues.html … …,
@AnthonyTeixeir3,05:19 - 24 mars 2013,#Carambar va arrêter ses blagues !,
@shuhbedoo,05:12 - 24 mars 2013,@iPupuce: Une #pétition contre la fin des #blagues #Carambarhttp://tempsreel.nouvelobs.com/l-histoire-du-soir/20130323.OBS2848/une-mairie-lance-une-petition-contre-la-fin-des-blagues-carambar.html?xtor=RSS-17 … JE SUIS CONTRE !!!,
@akadewan,05:10 - 24 mars 2013,Luttant contre la fin de #Carambar les élus #UMP y vont chacun de leur vanne en espérant être publiés et sauver la boite. #SauvonsCarambar,
@olivcim,05:05 - 24 mars 2013,Arrêt des blagues #Carambar. Quelle stratégie de com derrière ? 3 hypothèses - http://ow.ly/jlOEp  - #marketing #coupdecom #buzz,
@MargauxBrioche,04:44 - 24 mars 2013,Beau combat : Une pétition contre la fin des blagues #Carambar #Campagnedepubpaschere -> http://tempsreel.nouvelobs.com/l-histoire-du-soir/20130323.OBS2848/une-mairie-lance-une-petition-contre-la-fin-des-blagues-carambar.html … via @LeNouvelObs,
@jc_roux,04:28 - 24 mars 2013,RT @olivcim Arrêt des blagues #Carambar. Quelle stratégie de com derrière ? 3 hypothèses http://ow.ly/jlOCB  #marketing #coupdecom #buzz,
@Mamie_Zinzin,04:16 - 24 mars 2013,Hommage #Carambar: un monsieur habite une maison rouge avec du mobilier rouge etc.  Qqun frappe à la porte. Il dit: Entrez c'est ouvert!,
@cic,23:00 - 12 déc. 2018,Vous êtes prêt(e) à entreprendre et à relever de nouveaux défis ? Le CIC recrute cette année 2 000 collaborateurs. Rendez-vous sur https://goo.gl/8Jyke9  #CIC_entreprendresonjobpic.twitter.com/hcLWoHEBTm,
@TrendNCom,04:10 - 24 mars 2013,#Carambar arrete les #blagues et c'est bien dommage via @doc_news http://ow.ly/jkBTN ,
@RemyAlonso,04:04 - 24 mars 2013,“@KevinRazy: #Carambar .. l'ultime secret sur Hanouna Roumanoff Titoff and co ... =&gt; http://www.youtube.com/watch?v=eq8lbXHkoFg …” de la bombe!!!^^ #RT,
@MurerFanny,04:03 - 24 mars 2013,@BTS_COM_Cassin Place à l'éducation chez #Carambar  qui arrête les blagues écrites dans son emballage,
@ChinyChoo,04:00 - 24 mars 2013,La fin d’une époque : #Carambar stoppe les blagues | I'm So Chiny http://bit.ly/14lbceu ,
@Freetzstyle,03:59 - 24 mars 2013,@allocine: #Transformers4 de Michael Bay découvrez le synopsis détaillé : http://ow.ly/jk00J  Ce n'est pas fini les blagues #carambar ?,
@KevinRazy,03:58 - 24 mars 2013,#Carambar .. l'ultime secret sur Hanouna Roumanoff Titoff and co ... => http://www.youtube.com/watch?v=eq8lbXHkoFg …,
@LucieThiery,03:54 - 24 mars 2013,C'est la fin des barres de rire #carambar #blaguepasdrôle #blagueàpart,
@coach_serenity,03:37 - 24 mars 2013,Une pétition a été lancée contre la fin des blagues #Carambar! http://www.jeanmarcmorandini.com/article-302134-une-petition-a-ete-lancee-contre-la-fin-des-blagues-carambar.html … via @morandiniblog,
@iPupuce,03:24 - 24 mars 2013,Une #pétition contre la fin des #blagues #Carambarhttp://tempsreel.nouvelobs.com/l-histoire-du-soir/20130323.OBS2848/une-mairie-lance-une-petition-contre-la-fin-des-blagues-carambar.html?xtor=RSS-17 …,
@GuillaumeVIARD,03:12 - 24 mars 2013,Sans rire #Carambar ne blaguera plus http://fr.news-republic.com/Web/ArticleWeb.aspx?regionid=2&articleid=7710662 …,
@Dkbl_,03:05 - 24 mars 2013,Les blagues #Carambar de retour avec “@PascalPraud: Je dédicacerai mes tweets au salon du livre vers 17 heures aujourd'hui. Ok je sors.”,
@Lauwette77,03:04 - 24 mars 2013,RT@hollandouille1e: Les blagues #Carambar c'est fini  #Hollande aussi alors ? ! http://fb.me/22MeI4qrP ,
@laufromparis,02:57 - 24 mars 2013,Moi je suis sûre que ce n'est pas vrai cette histoire de #carambar. (Bon dans le doute je signe la pétition http://tinyurl.com/csl8v5u ),
@jeromegodefroy,02:53 - 24 mars 2013,#GrandRDV @Europe1 @itele : allez pour finir posez une question sur la suppression des blagues #Carambar à @jf_cope !,
@YasserMonkachi,02:46 - 24 mars 2013,RT @olivcim: Arrêt des blagues #Carambar. Quelle stratégie de com derrière ? 3 hypothèses - http://flip.it/qvdTc  - #marketing #coupdecom,
@Matymen,02:28 - 24 mars 2013,RT @olivcim: Arrêt des blagues #Carambar. Quelle stratégie de com derrière ? 3 hypothèses - http://ow.ly/jlOCB  - #coupdecom #buzz,
@olivcim,02:25 - 24 mars 2013,Arrêt des blagues #Carambar. Quelle stratégie de com derrière ? 3 hypothèses - http://ow.ly/jlOCB  - #marketing #coupdecom #buzz,
@Pyramide2Ponzi,02:21 - 24 mars 2013,Grace aux nouvelles devinettes #Carambar je ne fais plus de fautes d'orthographe ! Je vais quand même en reprendre un autre...,
@Clauchete,01:19 - 24 mars 2013,Je goûte mon premier carambar ! #carambar http://instagram.com/p/XO7mDIRE_l/ ,
@caro_fleck,01:01 - 24 mars 2013,Disparition des blagues #Carambar. La sale blague !,
@cic,21:55 - 28 nov. 2018,Vous êtes décidé(e) à construire l'avenir ? Le CIC recrute cette année 2 000 collaborateurs. Rendez-vous sur https://goo.gl/EtccwP  #CIC_entreprendresonjobpic.twitter.com/vByV29P2en,
@ThinkJavier,01:01 - 24 mars 2013,La fin des blagues #Carambar : c'est une blague ? http://www.20min.ch/ro/life/lifestyle/story/26209288 …pic.twitter.com/J274NqVaZk,
@cfdtsncf,00:49 - 24 mars 2013,Info ou intox ?plus de blague #Carambarhttp://idaim.fr/YwMqnz ”,
@nowalagnutt,00:01 - 24 mars 2013,La mairie de Marcq-en-Baroeul berceau du #Carambar lance une pétition contre la fin des #blagues http://bit.ly/WXP3zH  via @LeNouvelObs,
@fab_59,23:59 - 23 mars 2013,#Marcq en #Baroeul lance une #pétition contre la fin des #blagues #Carambar http://tempsreel.nouvelobs.com/l-histoire-du-soir/20130323.OBS2848/une-mairie-lance-une-petition-contre-la-fin-des-blagues-carambar.html …,
@olivcim,22:35 - 23 mars 2013,Arrêt des blagues #Carambar. Quelle stratégie de com derrière ? 3 hypothèses - http://ow.ly/jlOBe  - #marketing #coupdecom #buzz,
@nelson_cc,19:53 - 23 mars 2013,#Carambar #Inauguración W/ Amig@s :),
@YDENISDELAPORTE,17:50 - 23 mars 2013,La pétition CARAMBARhttp://www.facebook.com/pages/Marcq-en-Baroeul/123679961000034 …#blaguescarambar #carambar,
@YDENISDELAPORTE,17:47 - 23 mars 2013,Classons les blagues CARAMBAR comme patrimoine national! @MINISTERECULTUR @marcq-en-baroeuf   #blaguescarambar #carambar,
@FannMJ,17:29 - 23 mars 2013,@KevinRazy tu vas bientot pouvoir rajouter R.I.P. #Carambar,
@KevinRazy,17:26 - 23 mars 2013,Quelle est la différence entre un élastique et un homme au réveil? Aucune : il s'étire il s'étire il s'étire... et il pète ! #Carambar,
@JuPetiteau,16:29 - 23 mars 2013,Ça se cultive... @SoniaLahoucine #carambar  pic.twitter.com/wCLCcKXv5h,
@guiguimauve,16:15 - 23 mars 2013,Le #carambar une recette  raté  pour que ensuite ça devient un succès qu'elle belle histoire quand même !! :-),
@11plr,15:47 - 23 mars 2013,Une pétition contre la fin des blagues #Carambar http://tempsreel.nouvelobs.com/l-histoire-du-soir/20130323.OBS2848/une-mairie-lance-une-petition-contre-la-fin-des-blagues-carambar.html … vía @LeNouvelObs,
@olivcim,15:35 - 23 mars 2013,Arrêt des blagues #Carambar. Quelle stratégie de com derrière ? 3 hypothèses - http://ow.ly/jlOAg  - #marketing #coupdecom #buzz,
@prof_groucho,15:32 - 23 mars 2013,#ONPC une émission spéciale en hommage aux blagues #carambar,
@GuillaumeTC,15:28 - 23 mars 2013,Suis-je le seul à penser que #Carambar ne va pas arrêter ses blagues et que ce n'est qu'un gros coup de pub ?,
@AxelBssn,15:25 - 23 mars 2013,Les blagues des carambars c'est fini (c'est pas une blague) #Carambar #cestlafin,
@DigitalMax_,15:10 - 23 mars 2013,RT @Annethie #Carambar : Mauvaise #blague ou coup de com’ génial ? http://leblogducommunicant2-0.com/2013/03/23/carambar-mauvaise-blague-ou-coup-de-com-genial/ …,
@lthurion,15:10 - 23 mars 2013,La ville de Marcq-en-Baroeul lance une #pétition contre la fin des blagues #Carambar http://tempsreel.nouvelobs.com/l-histoire-du-soir/20130323.OBS2848/une-mairie-lance-une-petition-contre-la-fin-des-blagues-carambar.html … via @LeNouvelObs,
@ya94nn,14:58 - 23 mars 2013,Si tu es contre la suppression des blagues #carambar alors tu reste chez toi. Ne sors pas dans la rue au risque de croiser @LaManifPourTous,
@AgatheHng,14:53 - 23 mars 2013,Nan mais sérieux à partir du 15 Avril plus de Blagues dans les Carambar mais des Questions d'orthographe et de Grammaire... #carambar !!,
@berniecassel,14:36 - 23 mars 2013,Saturday night fever chez les M&M's - 'Les #Carambar se sont décommandés' - 'Sans blague!'. cc @Carambar_Francepic.twitter.com/8pjg30uqRF,
@Nicolasherbeaux,14:05 - 23 mars 2013,Ahahahahah merci pour cette bonne blague ! Je vais l'envoyer à #carambar @oliviersiou1 @afpfr @diderot12,
@roman_gbt,13:59 - 23 mars 2013,@Pers0nne Nan c'était pas mal en fait! #carambar,
@Dkbl_,13:26 - 23 mars 2013,Depuis que @emilielopez LT #TheVoice derrière @Telestarmag  la #roucasserie rivalise avec les blagues #Carambar,
@Com_FM,13:26 - 23 mars 2013,#Carambar : Mauvaise blague ou coup de com’ génial ? http://shar.es/eTaHE ,
@Ciliabule,13:05 - 23 mars 2013,“@leplus_obs: Fin des jeux de mots de #Carambar:mauvaise blague ou coup de comm’ génial? de @olivcim http://bit.ly/X2t77u  pour @m_salaun,
@olivcim,12:55 - 23 mars 2013,Arrêt des blagues #Carambar. Quelle stratégie de com derrière ? 3 hypothèses - http://ow.ly/jlOx8  - #marketing #coupdecom #buzz,
@RoseAndCook,12:55 - 23 mars 2013,@Centelm oui ça a été annoncé en grandes pompes marketing :-) #Carambar Ça me fait penser à Malabar (même groupe ;-) ),
@Justineshe,12:49 - 23 mars 2013,Qu'est ce qu'il ne faut pas faire dans un sous-marin? Une journée porte ouverte #HAHA &dire que bientôt on aura plus droit à ça. #Carambar,
@VTintillier,12:48 - 23 mars 2013,#carambar : mauvaise blague ou coup de comm’ génial ?http://leplus.nouvelobs.com/contribution/804756-carambar-mauvaise-blague-ou-coup-de-comm-genial.html …,
@AgenciaANSA,12:08 - 23 mars 2013,Francia: Adiós a los chistes de #Carambar http://fb.me/2cZ16RZW2 ,
@SimonMbt,12:08 - 23 mars 2013,Les blagues #Carambar ne vont plus exister,
